uprn,class,parent_uprn,latitude,longitude,country,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_description,dependent_locality,locality,town_name,administrative_area,post_town,postcode,postcode_locator,parsed_address1,parsed_address2
10094612923,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,ROOM 3,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"ROOM 3, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10010438942,CU11,5300082077,51.562716,-0.1088062,E,0,0,0,<NA>,0,0,0,0,TELEPHONE BOX OUTSIDE 222,222,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"TELEPHONE BOX OUTSIDE 222, 222, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611765,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 2,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 2, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091004093,CR08,5300082053,51.5623124,-0.1094289,E,0,0,0,<NA>,0,0,0,0,GROUND FLOOR,208,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"GROUND FLOOR, 208, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611767,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 4,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 4, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082065,C,10094609274,51.5623901,-0.1092237,E,0,0,0,<NA>,0,0,0,0,BASEMENT AND GROUND FLOOR,214,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"BASEMENT AND GROUND FLOOR, 214, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082055,CR,10012789664,51.5623385,-0.1093701,E,0,0,0,<NA>,0,0,0,0,SHOP,210,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"SHOP, 210, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091004799,C,5300082070,51.5625377,-0.1089002,E,0,0,0,<NA>,0,0,0,0,FLANK WALL OUTSIDE,216,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"FLANK WALL OUTSIDE, 216, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611763,PP,0,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,0,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094610557,CR07,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UPPER GROUND,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UPPER GROUND, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091004608,CO,5300082042,51.5622519,-0.1095757,E,0,0,0,<NA>,0,0,0,0,GROUND FLOOR,204,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"GROUND FLOOR, 204, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300101309,PP,0,51.5628028,-0.1080524,E,0,0,0,<NA>,0,0,0,0,0,232,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"232, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10012791199,PP,0,51.562364,-0.1092825,E,0,0,0,<NA>,0,0,0,0,0,212,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"212, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
5300082077,C,0,51.5626243,-0.1086946,E,0,0,0,<NA>,0,0,0,0,0,222,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"222, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612244,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 3A,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 3A, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612245,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 3B,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 3B, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10093622272,C,5300082018,51.5620616,-0.1100453,E,0,0,0,<NA>,0,0,0,0,GROUND FLOOR,190,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"GROUND FLOOR, 190, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10008977895,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 4,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 4, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091005610,PP,0,51.5628132,-0.1081385,E,0,0,0,<NA>,0,0,0,0,0,232,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"232, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612633,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 2A,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 2A, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10001295365,CR08,10001295364,51.5627358,-0.1083582,E,0,0,228A,<NA>,0,0,0,0,LOWER GROUND FLOOR,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"LOWER GROUND FLOOR, 228, SEVEN SISTERS ROAD","228A, SEVEN SISTERS ROAD"
10094611770,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 7,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 7, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611766,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 3,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 3, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094612246,C,5300082081,51.5626754,-0.1085194,E,0,0,0,<NA>,0,0,0,0,UNIT 3C,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 3C, 226, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10094611769,C,10094611763,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,UNIT 6,228,A,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"UNIT 6, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
